,tracking_id,datetime,windmill_generated_power(kW/h)
0,WM_19817,2019-04-17 08:53:20,2.6257681403063837
1,WM_18723,2019-03-30 07:43:20,2.437771702317372
2,WM_34552,2019-08-10 11:33:20,3.424180594502545
3,WM_28570,2019-06-26 03:53:20,6.687865742619604
4,WM_36934,2019-08-27 16:43:20,3.4681156753353535
5,WM_46,2018-10-29 04:43:20,7.55529636064898
6,WM_5545,2018-12-16 15:13:20,4.314508668915952
7,WM_6959,2018-12-27 01:53:20,11.22863589339016
8,WM_9565,2019-01-14 13:43:20,8.09648524101668
9,WM_33379,2019-08-02 03:33:20,2.4136360925582236
10,WM_24358,2019-05-24 04:23:20,5.723355224671625
11,WM_38536,2019-09-10 00:23:20,8.0282751075998
12,WM_30740,2019-07-11 20:33:20,7.239203717942734
13,WM_32731,2019-07-28 12:23:20,5.4419361578932
14,WM_14062,2019-02-17 14:03:20,8.207944134326915
15,WM_15294,2019-02-27 03:03:20,11.345058030981114
16,WM_36014,2019-08-21 06:03:20,5.588751945485365
17,WM_5050,2018-12-11 01:23:20,12.84116044343319
18,WM_17819,2019-03-22 11:53:20,2.606065286545412
19,WM_1759,2018-11-13 16:23:20,4.149966855036964
20,WM_27254,2019-06-16 12:13:20,4.5355222430573585
21,WM_14482,2019-02-20 17:53:20,4.484625662324585
22,WM_40277,2019-09-23 05:03:20,4.031995652324952
23,WM_23364,2019-05-17 04:43:20,5.659176609094979
24,WM_35071,2019-08-14 02:53:20,8.73278411949587
25,WM_1240,2018-11-09 20:43:20,4.685200032344269
26,WM_193,2018-10-30 05:43:20,8.267718692145907
27,WM_31417,2019-07-16 15:23:20,7.699138866772966
28,WM_37853,2019-09-05 02:13:20,6.046484058041414
29,WM_34415,2019-08-09 12:13:20,2.7703348184891996
30,WM_20130,2019-04-22 05:03:20,3.4817028336374607
31,WM_36985,2019-08-28 01:13:20,3.2184663525819475
32,WM_32816,2019-07-29 02:53:20,7.715533490037557
33,WM_9659,2019-01-15 06:03:20,9.18727607905157
34,WM_34192,2019-08-07 22:13:20,5.73050875067815
35,WM_7124,2018-12-28 06:43:20,9.049301353603466
36,WM_35945,2019-08-20 18:33:20,5.482638981822015
37,WM_29448,2019-07-02 12:43:20,3.896739109555628
38,WM_26129,2019-06-08 07:53:20,3.0757254441127166
39,WM_3566,2018-11-29 22:53:20,6.571837118805854
40,WM_1340,2018-11-10 15:23:20,3.1120767003435286
41,WM_14304,2019-02-19 08:33:20,6.505055161212859
42,WM_22513,2019-05-11 04:33:20,4.89233220098748
43,WM_15672,2019-03-01 19:03:20,11.694125087370763
44,WM_28793,2019-06-27 17:53:20,1.7149444693194638
45,WM_13683,2019-02-14 16:33:20,7.173416661726239
46,WM_8450,2019-01-06 15:23:20,8.35318342456599
47,WM_39606,2019-09-17 19:03:20,7.671860443868873
48,WM_33792,2019-08-05 01:43:20,8.347869776547743
49,WM_39434,2019-09-16 14:23:20,2.458534565137138
50,WM_16883,2019-03-14 00:13:20,2.5532576446400763
51,WM_16423,2019-03-08 21:13:20,5.548598826975325
52,WM_19378,2019-04-07 14:43:20,4.061074857209487
53,WM_35176,2019-08-14 20:23:20,8.347072224724553
54,WM_39649,2019-09-18 02:13:20,6.022700094496463
55,WM_16624,2019-03-11 23:43:20,2.4454023967113074
56,WM_25236,2019-05-31 15:13:20,4.066119726636147
57,WM_30165,2019-07-07 15:13:20,2.5618970662019764
58,WM_11229,2019-01-26 21:13:20,10.394714366063997
59,WM_22495,2019-05-11 01:33:20,5.366919284147762
60,WM_1410,2018-11-11 03:43:20,3.3309247673456275
61,WM_3502,2018-11-29 11:23:20,3.056243409960899
62,WM_11799,2019-02-01 03:53:20,9.04248950780286
63,WM_22334,2019-05-09 20:43:20,5.701814317365342
64,WM_37802,2019-09-04 17:43:20,3.469697850398008
65,WM_6663,2018-12-24 23:53:20,10.539932061550978
66,WM_29243,2019-07-01 01:43:20,5.353331592886285
67,WM_5320,2018-12-14 23:53:20,7.310331396767481
68,WM_16550,2019-03-10 15:43:20,7.051416844391283
69,WM_2183,2018-11-16 16:43:20,4.017395914599785
70,WM_3438,2018-11-29 00:33:20,5.421136772524956
71,WM_36325,2019-08-23 10:03:20,3.320086411856051
72,WM_8597,2019-01-07 16:23:20,5.2438460650897545
73,WM_31833,2019-07-19 14:33:20,5.190960789715713
74,WM_10149,2019-01-18 22:33:20,10.652027880888406
75,WM_38811,2019-09-11 22:23:20,8.377626205021619
76,WM_31073,2019-07-14 05:13:20,4.0402142269967
77,WM_1314,2018-11-10 11:03:20,5.220035687804512
78,WM_28386,2019-06-24 20:03:20,7.492412935433503
79,WM_198,2018-10-30 06:33:20,9.387474792901356
80,WM_10525,2019-01-21 14:03:20,10.23681306888108
81,WM_11900,2019-02-01 21:03:20,11.508381399940179
82,WM_18459,2019-03-27 07:03:20,3.7198594209784646
83,WM_33737,2019-08-04 16:33:20,6.366812934291347
84,WM_1851,2018-11-14 08:03:20,2.39765680500784
85,WM_21673,2019-05-05 04:43:20,4.526211975839265
86,WM_6566,2018-12-24 07:23:20,9.560925643994423
87,WM_36845,2019-08-27 01:53:20,3.0281819326766395
88,WM_7916,2019-01-02 19:43:20,12.49604259175062
89,WM_27896,2019-06-21 06:43:20,5.857659943258577
90,WM_21392,2019-05-02 11:33:20,3.5071577122269675
91,WM_27683,2019-06-19 18:13:20,4.430820295605897
92,WM_8769,2019-01-08 22:13:20,3.5959368736904964
93,WM_30312,2019-07-08 17:53:20,5.38630531419121
94,WM_29472,2019-07-02 16:43:20,4.233923555928456
95,WM_3189,2018-11-27 06:33:20,7.8424741049279625
96,WM_18130,2019-03-24 20:13:20,6.181440830237519
97,WM_36279,2019-08-23 02:23:20,8.625037680444272
98,WM_28062,2019-06-22 12:03:20,5.0555529826939445
99,WM_20790,2019-04-28 07:03:20,2.5786984764585856
100,WM_18167,2019-03-25 02:43:20,5.544673585021866
101,WM_1118,2018-11-08 18:03:20,15.185674087698601
102,WM_23657,2019-05-19 06:23:20,3.9975667756614484
103,WM_37530,2019-09-02 20:23:20,6.939484463820263
104,WM_29981,2019-07-06 08:03:20,4.11685588113296
105,WM_40227,2019-09-22 20:43:20,7.513571578167432
106,WM_1525,2018-11-11 23:43:20,6.654757239149555
107,WM_2323,2018-11-17 16:13:20,3.5105448217780175
108,WM_19419,2019-04-07 21:43:20,6.837949801179174
109,WM_18221,2019-03-25 13:43:20,4.056162963564023
110,WM_22827,2019-05-13 10:53:20,2.28839114556084
